sample_index,adc_raw,voltage_V
0,400,0.08057
1,854,0.17202
2,1411,0.28422
3,2130,0.42904
4,626,0.12609
5,952,0.19176
6,1600,0.32229
7,2045,0.41192
8,2196,0.44234
9,1979,0.39863
10,1507,0.30355
11,941,0.18954
12,501,0.10092
13,312,0.06285
14,654,0.13173
15,1119,0.22540
16,1740,0.35049
17,2092,0.42139
18,2152,0.43347
19,1846,0.37184
20,1379,0.27777
21,822,0.16557
22,370,0.07453
23,360,0.07251
24,779,0.15691
25,1292,0.26025
26,1802,0.36297
27,2150,0.43307
28,2156,0.43428
29,1781,0.35874
30,1278,0.25743
31,655,0.13194
32,363,0.07312
33,460,0.09266
34,844,0.17001
35,1416,0.28522
36,1973,0.39742
37,2208,0.44475
38,2087,0.42038
39,1638,0.32994
40,1113,0.22419
41,606,0.12207
42,293,0.05902
43,469,0.09447
44,976,0.19659
45,1624,0.32712
46,2074,0.41776
47,2196,0.44234
48,2021,0.40709
49,1478,0.29771
50,942,0.18975
51,461,0.09286
52,298,0.06003
53,635,0.12791
54,1173,0.23628
55,1739,0.35028
56,2071,0.41716
57,2181,0.43932
58,1872,0.37707
59,1289,0.25964
60,797,0.16054
61,429,0.08641
62,407,0.08198
63,757,0.15248
64,1292,0.26025
65,1816,0.36579
66,2185,0.44012
67,2126,0.42824
68,1811,0.36479
69,1185,0.23869
70,626,0.12609
71,389,0.07836
72,403,0.08118
73,848,0.17081
74,1429,0.28784
75,1982,0.39923
76,2209,0.44496
77,2042,0.41132
78,1658,0.33397
79,1017,0.20485
80,593,0.11945
81,298,0.06003
82,488,0.09830
83,983,0.19800
84,1649,0.33216
85,2079,0.41877
86,2211,0.44536
87,1994,0.40165
88,1479,0.29791
89,868,0.17484
90,434,0.08742
91,347,0.06990
92,627,0.12630
93,1185,0.23869
94,1730,0.34847
95,2100,0.42300
96,2208,0.44475
97,1918,0.38634
98,1345,0.27092
99,718,0.14463
100,375,0.07554
101,362,0.07292
102,701,0.14120
103,1286,0.25904
104,1823,0.36720
105,2188,0.44073
106,2165,0.43609
107,1799,0.36237
108,1173,0.23628
109,676,0.13617
110,325,0.06546
111,432,0.08702
112,910,0.18330
113,1427,0.28744
114,2006,0.40407
115,2191,0.44133
116,2038,0.41051
117,1644,0.33115
118,1065,0.21452
119,497,0.10011
120,355,0.07151
121,562,0.11320
122,1045,0.21049
123,1580,0.31826
124,2072,0.41736
125,2222,0.44757
126,2013,0.40548
127,1522,0.30657
128,879,0.17706
129,441,0.08883
130,306,0.06164
131,666,0.13415
132,1141,0.22983
133,1758,0.35411
134,2095,0.42199
135,2205,0.44415
136,1845,0.37164
137,1328,0.26750
138,767,0.15450
139,347,0.06990
140,396,0.07977
141,728,0.14664
142,1328,0.26750
143,1879,0.37848
144,2138,0.43065
145,2163,0.43569
146,1752,0.35290
147,1208,0.24333
148,668,0.13455
149,303,0.06103
150,481,0.09689
151,843,0.16980
152,1409,0.28381
153,1991,0.40104
154,2218,0.44677
155,2083,0.41958
156,1668,0.33598
157,1068,0.21513
158,546,0.10998
159,333,0.06708
160,566,0.11401
161,1043,0.21009
162,1655,0.33336
163,2081,0.41917
164,2208,0.44475
165,1939,0.39057
166,1463,0.29469
167,908,0.18290
168,414,0.08339
169,325,0.06546
170,623,0.12549
171,1202,0.24212
172,1717,0.34585
173,2166,0.43629
174,2203,0.44375
175,1911,0.38493
176,1325,0.26689
177,715,0.14402
178,411,0.08279
179,362,0.07292
180,753,0.15168
181,1343,0.27052
182,1858,0.37425
183,2144,0.43186
184,2107,0.42441
185,1778,0.35814
186,1142,0.23003
187,620,0.12489
188,307,0.06184
189,440,0.08863
190,907,0.18270
191,1508,0.30375
192,1988,0.40044
193,2206,0.44435
194,2016,0.40608
195,1593,0.32088
196,1025,0.20646
197,548,0.11038
198,297,0.05982
199,585,0.11784
200,1057,0.21291
201,1618,0.32591
202,2070,0.41696
203,2185,0.44012
204,1925,0.38775
205,1488,0.29973
206,858,0.17283
207,404,0.08138
208,384,0.07735
209,656,0.13214
210,1212,0.24413
211,1796,0.36177
212,2156,0.43428
213,2185,0.44012
214,1820,0.36660
215,1282,0.25823
216,703,0.14160
217,396,0.07977
218,352,0.07090
219,830,0.16719
220,1370,0.27596
221,1904,0.38352
222,2142,0.43146
223,2143,0.43166
224,1682,0.33880
225,1190,0.23970
226,630,0.12690
227,313,0.06305
228,441,0.08883
229,959,0.19317
230,1458,0.29368
231,1975,0.39782
232,2219,0.44697
233,2011,0.40507
234,1515,0.30516
235,1043,0.21009
236,458,0.09225
237,342,0.06889
238,548,0.11038
239,1072,0.21593
240,1668,0.33598
241,2109,0.42481
242,2219,0.44697
243,1929,0.38856
244,1379,0.27777
245,850,0.17121
246,456,0.09185
247,323,0.06506
248,698,0.14060
249,1251,0.25199
250,1751,0.35270
251,2138,0.43065
252,2192,0.44153
253,1813,0.36519
254,1257,0.25320
255,725,0.14604
256,381,0.07674
257,373,0.07513
258,799,0.16094
259,1362,0.27435
260,1923,0.38735
261,2188,0.44073
262,2130,0.42904
263,1772,0.35693
264,1088,0.21915
265,633,0.12750
266,326,0.06567
267,486,0.09789
268,971,0.19559
269,1516,0.30537
270,1997,0.40225
271,2153,0.43368
272,2015,0.40588
273,1609,0.32410
274,926,0.18652
275,541,0.10897
276,342,0.06889
277,564,0.11361
278,1104,0.22238
279,1645,0.33135
280,2085,0.41998
281,2206,0.44435
282,1960,0.39480
283,1431,0.28824
284,752,0.15147
285,411,0.08279
286,379,0.07634
287,691,0.13919
288,1209,0.24353
289,1840,0.37063
290,2167,0.43650
291,2166,0.43629
292,1854,0.37345
293,1241,0.24997
294,679,0.13677
295,303,0.06103
296,381,0.07674
297,776,0.15631
298,1403,0.28260
299,1920,0.38674
300,2142,0.43146
301,2103,0.42360
302,1706,0.34364
303,1156,0.23285
304,586,0.11804
305,341,0.06869
306,459,0.09246
307,966,0.19458
308,1499,0.30194
309,1997,0.40225
310,2176,0.43831
311,2068,0.41655
312,1537,0.30960
313,928,0.18693
314,479,0.09648
315,317,0.06385
316,581,0.11703
317,1066,0.21472
318,1661,0.33457
319,2130,0.42904
320,2175,0.43811
321,1941,0.39097
322,1410,0.28401
